EUR1M Curncy - Date,EUR1M Curncy - Last Price,JPY1M Curncy - Date,JPY1M Curncy - Last Price,GBP1M Curncy - Date,GBP1M Curncy - Last Price,CAD1M Curncy -  Date,CAD1M Curncy - Last Price
2022-12-13,30.59,2022-12-13,-61.93,2022-12-13,15.68,2022-12-13,-7.06
2022-12-12,30.15,2022-12-12,-64.54,2022-12-12,15.13,2022-12-12,-6.22
2022-12-09,27.72,2022-12-09,-58.36,2022-12-09,13.83,2022-12-09,-5.74
2022-12-08,28.25,2022-12-08,-58.81,2022-12-08,13.99,2022-12-08,-5.32
2022-12-07,28.71,2022-12-07,-60.58,2022-12-07,14.21,2022-12-07,-5.35
2022-12-06,29.23,2022-12-06,-62.3,2022-12-06,14.57,2022-12-06,-7.73
2022-12-05,30.35,2022-12-05,-63.76,2022-12-05,15.18,2022-12-05,-7.8
2022-12-02,29.33,2022-12-02,-57.76,2022-12-02,15.49,2022-12-02,-8.6
2022-12-01,29.01,2022-12-01,-57.71,2022-12-01,15.28,2022-12-01,-8.31
2022-11-30,29.5,2022-11-30,-60.9,2022-11-30,15.14,2022-11-30,-8.06
2022-11-29,30.53,2022-11-29,-63.82,2022-11-29,14.98,2022-11-29,-2.87
2022-11-28,22.19,2022-11-28,-49.49,2022-11-28,9.26,2022-11-28,-3.05
2022-11-25,22.17,2022-11-25,-49.14,2022-11-25,9.23,2022-11-25,-2.95
2022-11-24,22.18,2022-11-24,-48.67,2022-11-24,9.2,2022-11-24,-3.08
2022-11-23,23.53,2022-11-23,-51.79,2022-11-23,10.06,2022-11-23,-2.9
2022-11-22,23.56,2022-11-22,-52.56,2022-11-22,10.07,2022-11-22,-2.49
2022-11-21,22.1,2022-11-21,-52.83,2022-11-21,8.89,2022-11-21,-2.37
2022-11-18,22.26,2022-11-18,-48.25,2022-11-18,8.79,2022-11-18,-2.12
2022-11-17,22.29,2022-11-17,-48.07,2022-11-17,8.82,2022-11-17,-1.97
2022-11-16,22.89,2022-11-16,-49.21,2022-11-16,9.21,2022-11-16,-1.92
2022-11-15,23.51,2022-11-15,-50.38,2022-11-15,9.55,2022-11-15,-1.8
2022-11-14,21.6,2022-11-14,-47.36,2022-11-14,8.89,2022-11-14,-1.59
2022-11-11,21.51,2022-11-11,-46.88,2022-11-11,8.97,2022-11-11,-1.65
2022-11-10,21.12,2022-11-10,-47.72,2022-11-10,8.87,2022-11-10,-1.68
2022-11-09,20.83,2022-11-09,-49.33,2022-11-09,8.99,2022-11-09,-2.01
2022-11-08,22.25,2022-11-08,-52.14,2022-11-08,9.8,2022-11-08,-2.37
2022-11-07,20.76,2022-11-07,-49.18,2022-11-07,9.13,2022-11-07,-2.53
2022-11-04,20.65,2022-11-04,-49.11,2022-11-04,9.02,2022-11-04,-2.51
2022-11-03,20.46,2022-11-03,-49.8,2022-11-03,8.94,2022-11-03,-2.44
2022-11-02,21.47,2022-11-02,-49.82,2022-11-02,9.97,2022-11-02,-2.69
2022-11-01,22.39,2022-11-01,-50.86,2022-11-01,10.11,2022-11-01,-2.39
2022-10-31,20.99,2022-10-31,-49.23,2022-10-31,9.4,2022-10-31,-2.23
2022-10-28,20.97,2022-10-28,-48.8,2022-10-28,8.97,2022-10-28,-1.85
2022-10-27,21.02,2022-10-27,-47.88,2022-10-27,8.8,2022-10-27,-1.25
2022-10-26,21.88,2022-10-26,-48.65,2022-10-26,8.98,2022-10-26,-1.29
2022-10-25,22.36,2022-10-25,-50.43,2022-10-25,8.98,2022-10-25,0.49
2022-10-24,23.1,2022-10-24,-52.29,2022-10-24,9.08,2022-10-24,0.76
2022-10-21,21.74,2022-10-21,-49.1,2022-10-21,7.99,2022-10-21,0.88
2022-10-20,22.13,2022-10-20,-51.38,2022-10-20,8.23,2022-10-20,1.36
2022-10-19,21.22,2022-10-19,-48.25,2022-10-19,7.77,2022-10-19,1.28
2022-10-18,22.1,2022-10-18,-49.17,2022-10-18,7.63,2022-10-18,0.23
2022-10-17,22.9,2022-10-17,-50.74,2022-10-17,7.71,2022-10-17,0.15
2022-10-14,21.4,2022-10-14,-47.15,2022-10-14,7.21,2022-10-14,0.22
2022-10-13,21.54,2022-10-13,-46.36,2022-10-13,7.46,2022-10-13,0.15
2022-10-12,21.3,2022-10-12,-45.11,2022-10-12,7.71,2022-10-12,0.13
2022-10-11,21.8,2022-10-11,-45.98,2022-10-11,7.92,2022-10-11,0.56
2022-10-10,22.42,2022-10-10,-47.17,2022-10-10,7.87,2022-10-10,1.12
2022-10-07,23.17,2022-10-07,-47.1,2022-10-07,8.15,2022-10-07,1.19
2022-10-06,23.15,2022-10-06,-48.49,2022-10-06,7.95,2022-10-06,1.41
2022-10-05,21.13,2022-10-05,-42.45,2022-10-05,8.19,2022-10-05,0.79
2022-10-04,21.99,2022-10-04,-43.75,2022-10-04,8.57,2022-10-04,-0.08
2022-10-03,22.56,2022-10-03,-45.36,2022-10-03,8.2,2022-10-03,0.94
2022-09-30,20.92,2022-09-30,-41.56,2022-09-30,7.59,2022-09-30,1.3
2022-09-29,20.91,2022-09-29,-42.81,2022-09-29,6.88,2022-09-29,1.48
2022-09-28,21.18,2022-09-28,-41.28,2022-09-28,5.15,2022-09-28,1.04
2022-09-27,21.97,2022-09-27,-42.82,2022-09-27,6.67,2022-09-27,0.39
2022-09-26,21.14,2022-09-26,-40.65,2022-09-26,6.17,2022-09-26,0.31
2022-09-23,21.22,2022-09-23,-40.17,2022-09-23,5.85,2022-09-23,0.63
2022-09-22,21.45,2022-09-22,-40.08,2022-09-22,8.73,2022-09-22,0.71
2022-09-21,22.37,2022-09-21,-41.44,2022-09-21,8.18,2022-09-21,0.56
2022-09-20,23.53,2022-09-20,-44.17,2022-09-20,8.99,2022-09-20,0.47
2022-09-19,21.82,2022-09-19,-41.11,2022-09-19,8.4,2022-09-19,0.63
2022-09-16,21.54,2022-09-16,-41.08,2022-09-16,8.41,2022-09-16,0.79
2022-09-15,21.46,2022-09-15,-40.74,2022-09-15,8.34,2022-09-15,1.92
2022-09-14,22.04,2022-09-14,-41.03,2022-09-14,8.35,2022-09-14,2.26
2022-09-13,22.43,2022-09-13,-42.78,2022-09-13,8.66,2022-09-13,2.53
2022-09-12,20.31,2022-09-12,-38.31,2022-09-12,7.69,2022-09-12,3.45
2022-09-09,19.9,2022-09-09,-37.79,2022-09-09,7.49,2022-09-09,3.68
2022-09-08,19.65,2022-09-08,-38.24,2022-09-08,6.33,2022-09-08,4.15
2022-09-07,21.83,2022-09-07,-40.39,2022-09-07,6.89,2022-09-07,4.27
2022-09-06,22.01,2022-09-06,-39.56,2022-09-06,6.48,2022-09-06,3.88
2022-09-05,19.52,2022-09-05,-34.34,2022-09-05,5.55,2022-09-05,3.81
2022-09-02,19.49,2022-09-02,-33.95,2022-09-02,5.88,2022-09-02,3.86
2022-09-01,19.63,2022-09-01,-34.14,2022-09-01,6.22,2022-09-01,3.49
2022-08-31,20.47,2022-08-31,-34,2022-08-31,6.82,2022-08-31,3.39
2022-08-30,21.09,2022-08-30,-35.54,2022-08-30,6.95,2022-08-30,4.26
2022-08-29,18.68,2022-08-29,-31.57,2022-08-29,5.31,2022-08-29,4.2
2022-08-26,19.38,2022-08-26,-31.96,2022-08-26,5.44,2022-08-26,4.14
2022-08-25,19.8,2022-08-25,-31.73,2022-08-25,6.01,2022-08-25,4.11
2022-08-24,19.6,2022-08-24,-30.88,2022-08-24,5.73,2022-08-24,3.92
2022-08-23,20.44,2022-08-23,-31.73,2022-08-23,6.03,2022-08-23,4.28
2022-08-22,21.26,2022-08-22,-33.4,2022-08-22,6.25,2022-08-22,4.05
2022-08-19,19.92,2022-08-19,-33.93,2022-08-19,5.7,2022-08-19,3.74
2022-08-18,19.98,2022-08-18,-29.62,2022-08-18,5.65,2022-08-18,3.13
2022-08-17,20.68,2022-08-17,-30.43,2022-08-17,6.26,2022-08-17,3.4
2022-08-16,21.41,2022-08-16,-31.27,2022-08-16,6.81,2022-08-16,3.26
2022-08-15,22.29,2022-08-15,-32.23,2022-08-15,7.13,2022-08-15,2.01
2022-08-12,21.47,2022-08-12,-29.64,2022-08-12,7.2,2022-08-12,1.85
2022-08-11,21.59,2022-08-11,-29.58,2022-08-11,7.35,2022-08-11,1.18
2022-08-10,21.7,2022-08-10,-29.71,2022-08-10,7.44,2022-08-10,1.27
2022-08-09,22.23,2022-08-09,-29.84,2022-08-09,7.62,2022-08-09,1.18
2022-08-08,23.06,2022-08-08,-31.87,2022-08-08,7.96,2022-08-08,0.8
2022-08-05,21.48,2022-08-05,-29.69,2022-08-05,7.28,2022-08-05,0.71
2022-08-04,21.48,2022-08-04,-29.24,2022-08-04,7.23,2022-08-04,0.74
2022-08-03,22.09,2022-08-03,-30.36,2022-08-03,8.11,2022-08-03,0.7
2022-08-02,22.97,2022-08-02,-31.57,2022-08-02,8.61,2022-08-02,0.58
2022-08-01,23.84,2022-08-01,-32.11,2022-08-01,8.95,2022-08-01,0.75
2022-07-29,21.85,2022-07-29,-29.67,2022-07-29,8.52,2022-07-29,0.48
2022-07-28,21.82,2022-07-28,-30.3,2022-07-28,8.51,2022-07-28,0.49
2022-07-27,23.48,2022-07-27,-32.88,2022-07-27,9.47,2022-07-27,0.06
2022-07-26,22.9,2022-07-26,-32.4,2022-07-26,10.14,2022-07-26,0.17
2022-07-25,23.79,2022-07-25,-33.19,2022-07-25,10.34,2022-07-25,0.39
2022-07-22,22.16,2022-07-22,-30.31,2022-07-22,9.22,2022-07-22,0.64
2022-07-21,22.14,2022-07-21,-30.1,2022-07-21,8.88,2022-07-21,1.46
2022-07-20,22.66,2022-07-20,-29.13,2022-07-20,8.75,2022-07-20,1.51
2022-07-19,23.29,2022-07-19,-29.99,2022-07-19,8.58,2022-07-19,1.47
2022-07-18,24.2,2022-07-18,-30.99,2022-07-18,8.52,2022-07-18,1.64
2022-07-15,22.48,2022-07-15,-31.22,2022-07-15,7.85,2022-07-15,1.73
2022-07-14,22.13,2022-07-14,-29.76,2022-07-14,7.79,2022-07-14,2.17
2022-07-13,22.11,2022-07-13,-28.33,2022-07-13,8.06,2022-07-13,1.83
2022-07-12,22.07,2022-07-12,-27.92,2022-07-12,7.58,2022-07-12,0.65
2022-07-11,22.62,2022-07-11,-28.55,2022-07-11,7.54,2022-07-11,0.63
2022-07-08,21.3,2022-07-08,-26.11,2022-07-08,7.01,2022-07-08,0.53
2022-07-07,20.94,2022-07-07,-26.43,2022-07-07,6.72,2022-07-07,0.61
2022-07-06,20.92,2022-07-06,-24.82,2022-07-06,6.78,2022-07-06,0.36
2022-07-05,21.74,2022-07-05,-25.4,2022-07-05,6.71,2022-07-05,0.27
2022-07-04,22.86,2022-07-04,-26.42,2022-07-04,6.94,2022-07-04,0.48
2022-07-01,21.1,2022-07-01,-24.79,2022-07-01,6.43,2022-07-01,0.54
2022-06-30,21.36,2022-06-30,-25.03,2022-06-30,6.57,2022-06-30,0.57
2022-06-29,20.76,2022-06-29,-24,2022-06-29,5.32,2022-06-29,0.63
2022-06-28,19.52,2022-06-28,-22.09,2022-06-28,4.96,2022-06-28,0.45
2022-06-27,20.29,2022-06-27,-22.75,2022-06-27,5.54,2022-06-27,0.49
2022-06-24,20.08,2022-06-24,-22.11,2022-06-24,5.42,2022-06-24,0.36
2022-06-23,20.27,2022-06-23,-22.4,2022-06-23,5.49,2022-06-23,-0.69
2022-06-22,21.23,2022-06-22,-23.76,2022-06-22,5.64,2022-06-22,-0.23
2022-06-21,21.56,2022-06-21,-24.71,2022-06-21,5.61,2022-06-21,-0.47
2022-06-20,19.94,2022-06-20,-22.78,2022-06-20,5.24,2022-06-20,-0.62
2022-06-17,19.92,2022-06-17,-22.54,2022-06-17,5.21,2022-06-17,-0.72
2022-06-16,19.98,2022-06-16,-21.64,2022-06-16,5.25,2022-06-16,-1.51
2022-06-15,20.68,2022-06-15,-23.72,2022-06-15,4.76,2022-06-15,-1.52
2022-06-14,21.23,2022-06-14,-23.3,2022-06-14,4.71,2022-06-14,-1.08
2022-06-13,19.47,2022-06-13,-20.19,2022-06-13,3.91,2022-06-13,-1.02
2022-06-10,17.92,2022-06-10,-17.9,2022-06-10,1.74,2022-06-10,0.74
2022-06-09,17.49,2022-06-09,-17.48,2022-06-09,1.79,2022-06-09,1.4
2022-06-08,17.7,2022-06-08,-17.56,2022-06-08,2.05,2022-06-08,1.49
2022-06-07,18.22,2022-06-07,-17.93,2022-06-07,2.2,2022-06-07,1.45
2022-06-06,16.92,2022-06-06,-16.49,2022-06-06,2,2022-06-06,1.49
2022-06-03,16.8,2022-06-03,-16.23,2022-06-03,2,2022-06-03,1.56
2022-06-02,16.69,2022-06-02,-15.84,2022-06-02,1.99,2022-06-02,1.7
2022-06-01,17.28,2022-06-01,-16.12,2022-06-01,2.02,2022-06-01,2.11
2022-05-31,17.97,2022-05-31,-16.49,2022-05-31,1.98,2022-05-31,2
2022-05-30,16.02,2022-05-30,-15.01,2022-05-30,1.36,2022-05-30,2.56
2022-05-27,15.36,2022-05-27,-14.32,2022-05-27,0.77,2022-05-27,2.56
2022-05-26,15.48,2022-05-26,-14.3,2022-05-26,1.09,2022-05-26,2.53
2022-05-25,15.34,2022-05-25,-13.98,2022-05-25,0.92,2022-05-25,2.24
2022-05-24,15.9,2022-05-24,-14.23,2022-05-24,0.89,2022-05-24,2.11
2022-05-23,16.2,2022-05-23,-14.62,2022-05-23,0.71,2022-05-23,2.08
2022-05-20,14.62,2022-05-20,-13.35,2022-05-20,0.27,2022-05-20,2.25
2022-05-19,14.43,2022-05-19,-13.14,2022-05-19,0.1,2022-05-19,2.13
2022-05-18,14.4,2022-05-18,-13.02,2022-05-18,-0.09,2022-05-18,2.24
2022-05-17,14.95,2022-05-17,-13.65,2022-05-17,-0.04,2022-05-17,2.13
2022-05-16,15.38,2022-05-16,-14.32,2022-05-16,0.16,2022-05-16,2.27
2022-05-13,13.58,2022-05-13,-12.67,2022-05-13,-0.09,2022-05-13,2.39
2022-05-12,13.52,2022-05-12,-12.59,2022-05-12,-0.12,2022-05-12,2
2022-05-11,13.43,2022-05-11,-12.47,2022-05-11,-0.28,2022-05-11,1.96
2022-05-10,13.91,2022-05-10,-12.88,2022-05-10,-0.39,2022-05-10,2.01
2022-05-09,14.38,2022-05-09,-13.28,2022-05-09,-0.38,2022-05-09,1.58
2022-05-06,13.59,2022-05-06,-12.65,2022-05-06,-0.19,2022-05-06,1.11
2022-05-05,13.59,2022-05-05,-13.07,2022-05-05,-0.03,2022-05-05,0.49
2022-05-04,13.81,2022-05-04,-12.91,2022-05-04,-0.19,2022-05-04,0.42
2022-05-03,14.31,2022-05-03,-13.01,2022-05-03,-0.21,2022-05-03,0.68
2022-05-02,14.63,2022-05-02,-12.96,2022-05-02,-0.23,2022-05-02,0.48
2022-04-29,13.78,2022-04-29,-12.77,2022-04-29,-0.25,2022-04-29,0.41
2022-04-28,13.43,2022-04-28,-12.76,2022-04-28,-0.63,2022-04-28,1.01
2022-04-27,13.62,2022-04-27,-12.19,2022-04-27,-0.85,2022-04-27,1.23
2022-04-26,14,2022-04-26,-12.25,2022-04-26,-0.88,2022-04-26,1.37
2022-04-25,12.57,2022-04-25,-10.73,2022-04-25,-0.98,2022-04-25,1.37
2022-04-22,12.39,2022-04-22,-10.13,2022-04-22,-1.43,2022-04-22,1.69
2022-04-21,12.25,2022-04-21,-9.91,2022-04-21,-1.94,2022-04-21,2.18
2022-04-20,12.22,2022-04-20,-9.69,2022-04-20,-1.81,2022-04-20,2.03
2022-04-19,12.72,2022-04-19,-10.06,2022-04-19,-1.8,2022-04-19,2.27
2022-04-18,11.7,2022-04-18,-8.93,2022-04-18,-1.8,2022-04-18,2.55
2022-04-15,11.73,2022-04-15,-8.98,2022-04-15,-1.78,2022-04-15,2.66
2022-04-14,11.74,2022-04-14,-8.87,2022-04-14,-1.79,2022-04-14,2.66
2022-04-13,11.45,2022-04-13,-8.58,2022-04-13,-1.97,2022-04-13,2.97
2022-04-12,11.62,2022-04-12,-8.89,2022-04-12,-2.2,2022-04-12,2.4
2022-04-11,10.91,2022-04-11,-8.56,2022-04-11,-1.96,2022-04-11,2.44
2022-04-08,10.77,2022-04-08,-8.43,2022-04-08,-1.95,2022-04-08,2.61
2022-04-07,10.45,2022-04-07,-7.72,2022-04-07,-2.09,2022-04-07,2.66
2022-04-06,10.51,2022-04-06,-7.44,2022-04-06,-2.23,2022-04-06,2.7
2022-04-05,10.86,2022-04-05,-7.24,2022-04-05,-2.34,2022-04-05,2.63
2022-04-04,9.74,2022-04-04,-6.35,2022-04-04,-2.47,2022-04-04,2.42
2022-04-01,9.69,2022-04-01,-6.64,2022-04-01,-2.46,2022-04-01,2.25
2022-03-31,9.8,2022-03-31,-7.11,2022-03-31,-2.5,2022-03-31,1.94
2022-03-30,10.23,2022-03-30,-6.94,2022-03-30,-2.87,2022-03-30,1.61
2022-03-29,9.84,2022-03-29,-6.25,2022-03-29,-2.35,2022-03-29,1.59
2022-03-28,10.69,2022-03-28,-7.57,2022-03-28,-1.81,2022-03-28,1.15
2022-03-25,10.89,2022-03-25,-7.46,2022-03-25,-1.96,2022-03-25,1.11
2022-03-24,10.8,2022-03-24,-7.35,2022-03-24,-2.03,2022-03-24,0.7
2022-03-23,10.53,2022-03-23,-7.07,2022-03-23,-2.22,2022-03-23,1.26
2022-03-22,10.82,2022-03-22,-7.04,2022-03-22,-2.42,2022-03-22,1.05
2022-03-21,11.05,2022-03-21,-6.91,2022-03-21,-2.53,2022-03-21,0.25
2022-03-18,10.91,2022-03-18,-6.95,2022-03-18,-2.3,2022-03-18,-0.15
2022-03-17,10.93,2022-03-17,-6.53,2022-03-17,-2.3,2022-03-17,-0.65
2022-03-16,11.61,2022-03-16,-6.62,2022-03-16,-2.31,2022-03-16,-0.92
2022-03-15,12.26,2022-03-15,-6.92,2022-03-15,-1.94,2022-03-15,-1.52
2022-03-14,12.14,2022-03-14,-7.45,2022-03-14,-2.03,2022-03-14,-1.34
2022-03-11,12.91,2022-03-11,-7.45,2022-03-11,-1.3,2022-03-11,-1.74
2022-03-10,11.41,2022-03-10,-7.33,2022-03-10,-1.18,2022-03-10,-1.45
2022-03-09,10.39,2022-03-09,-6.27,2022-03-09,-1.64,2022-03-09,-0.96
2022-03-08,11.76,2022-03-08,-7.72,2022-03-08,-0.69,2022-03-08,-1.23
2022-03-07,12.81,2022-03-07,-8.64,2022-03-07,-0.09,2022-03-07,-1.35
2022-03-04,12.75,2022-03-04,-8.88,2022-03-04,1.51,2022-03-04,-1.54
2022-03-03,10.67,2022-03-03,-6.9,2022-03-03,-1.29,2022-03-03,-0.21
2022-03-02,11.17,2022-03-02,-6.64,2022-03-02,-0.36,2022-03-02,0.01
2022-03-01,13.07,2022-03-01,-8.23,2022-03-01,2.16,2022-03-01,-1.06
2022-02-28,15.31,2022-02-28,-8.71,2022-02-28,4.1,2022-02-28,-1.87
2022-02-25,10.6,2022-02-25,-6.24,2022-02-25,-0.64,2022-02-25,0.38
2022-02-24,9.86,2022-02-24,-5.66,2022-02-24,-1.43,2022-02-24,0.51
2022-02-23,7.65,2022-02-23,-3.81,2022-02-23,-2.24,2022-02-23,0.94
2022-02-22,7.7,2022-02-22,-3.89,2022-02-22,-2.25,2022-02-22,1.1
2022-02-21,7.39,2022-02-21,-3.39,2022-02-21,-2.62,2022-02-21,1.3
2022-02-18,7.39,2022-02-18,-3.21,2022-02-18,-2.67,2022-02-18,1.23
2022-02-17,7.26,2022-02-17,-3.14,2022-02-17,-2.74,2022-02-17,1.47
2022-02-16,6.71,2022-02-16,-2.67,2022-02-16,-2.73,2022-02-16,1.54
2022-02-15,6.51,2022-02-15,-2.7,2022-02-15,-2.65,2022-02-15,1.25
2022-02-14,6.77,2022-02-14,-3.09,2022-02-14,-2.44,2022-02-14,0.9
2022-02-11,6.85,2022-02-11,-3.19,2022-02-11,-2.4,2022-02-11,0.62
2022-02-10,7.34,2022-02-10,-3.68,2022-02-10,-1.98,2022-02-10,0.05
2022-02-09,6.37,2022-02-09,-2.6,2022-02-09,-2.97,2022-02-09,0.62
2022-02-08,6.43,2022-02-08,-2.52,2022-02-08,-2.91,2022-02-08,0.6
2022-02-07,6.4,2022-02-07,-2.5,2022-02-07,-2.94,2022-02-07,0.55
2022-02-04,6.48,2022-02-04,-2.41,2022-02-04,-2.88,2022-02-04,0.41
2022-02-03,6.31,2022-02-03,-2.34,2022-02-03,-2.95,2022-02-03,0.21
2022-02-02,6.24,2022-02-02,-2.38,2022-02-02,-2.85,2022-02-02,0.2
2022-02-01,6.24,2022-02-01,-2.45,2022-02-01,-2.65,2022-02-01,0.23
2022-01-31,6.27,2022-01-31,-2.44,2022-01-31,-2.5,2022-01-31,0.17
2022-01-28,6.24,2022-01-28,-2.46,2022-01-28,-2.5,2022-01-28,0.25
2022-01-27,6.24,2022-01-27,-2.46,2022-01-27,-2.47,2022-01-27,0.2
2022-01-26,6.99,2022-01-26,-2.62,2022-01-26,-2.34,2022-01-26,0.2
2022-01-25,7.33,2022-01-25,-2.89,2022-01-25,-2.25,2022-01-25,1.71
2022-01-24,7.56,2022-01-24,-3.04,2022-01-24,-2.29,2022-01-24,1.53
2022-01-21,7.05,2022-01-21,-2.74,2022-01-21,-2.15,2022-01-21,1.69
2022-01-20,6.92,2022-01-20,-2.66,2022-01-20,-2.22,2022-01-20,1.63
2022-01-19,7.3,2022-01-19,-2.85,2022-01-19,-2.15,2022-01-19,1.36
2022-01-18,7.71,2022-01-18,-2.95,2022-01-18,-1.91,2022-01-18,1.23
2022-01-17,7.73,2022-01-17,-2.98,2022-01-17,-2.17,2022-01-17,1.13
2022-01-14,6.99,2022-01-14,-2.65,2022-01-14,-1.79,2022-01-14,0.86
2022-01-13,7.01,2022-01-13,-2.65,2022-01-13,-1.82,2022-01-13,0.71
2022-01-12,7.05,2022-01-12,-2.69,2022-01-12,-1.15,2022-01-12,0.61
2022-01-11,7.3,2022-01-11,-2.9,2022-01-11,-1.06,2022-01-11,0.34
2022-01-10,7.5,2022-01-10,-2.99,2022-01-10,-0.91,2022-01-10,0.44
2022-01-07,7.03,2022-01-07,-2.83,2022-01-07,-1.15,2022-01-07,0.55
2022-01-06,6.68,2022-01-06,-2.78,2022-01-06,-1.11,2022-01-06,0.5
2022-01-05,6.61,2022-01-05,-2.5,2022-01-05,-1.01,2022-01-05,0.38
2022-01-04,6.72,2022-01-04,-2.54,2022-01-04,-1.18,2022-01-04,0.6
2022-01-03,7.1,2022-01-03,-2.77,2022-01-03,-1,2022-01-03,0.33
2021-12-31,7.01,2021-12-31,-2.78,2021-12-31,-0.92,2021-12-31,0.37
2021-12-30,7.11,2021-12-30,-2.79,2021-12-30,-0.57,2021-12-30,0.12
2021-12-29,9.3,2021-12-29,-2.75,2021-12-29,0.85,2021-12-29,-0.52
2021-12-28,9.25,2021-12-28,-3.95,2021-12-28,1.75,2021-12-28,-0.94
2021-12-27,9.72,2021-12-27,-4.41,2021-12-27,1.77,2021-12-27,-0.82
2021-12-24,9.48,2021-12-24,-4.51,2021-12-24,1.8,2021-12-24,-0.86
2021-12-23,9.38,2021-12-23,-4.8,2021-12-23,1.79,2021-12-23,-0.99
2021-12-22,9.38,2021-12-22,-4.86,2021-12-22,1.74,2021-12-22,-1.6
2021-12-21,9.25,2021-12-21,-4.97,2021-12-21,1.14,2021-12-21,-1.74
2021-12-20,10.07,2021-12-20,-5.06,2021-12-20,1.39,2021-12-20,-1.24
2021-12-17,12.09,2021-12-17,-7.2,2021-12-17,4.63,2021-12-17,-2.98
2021-12-16,13.43,2021-12-16,-7.72,2021-12-16,5.9,2021-12-16,-3.75
2021-12-15,13.53,2021-12-15,-7.87,2021-12-15,7.13,2021-12-15,-4.07
2021-12-14,13.57,2021-12-14,-7.18,2021-12-14,7.24,2021-12-14,-4.28
2021-12-13,13.85,2021-12-13,-7.35,2021-12-13,7.42,2021-12-13,-4.52
2021-12-10,12.98,2021-12-10,-6.81,2021-12-10,6.79,2021-12-10,-4.24
2021-12-09,12.15,2021-12-09,-6.55,2021-12-09,6.32,2021-12-09,-4.05
2021-12-08,12.19,2021-12-08,-6.91,2021-12-08,6.71,2021-12-08,-4.1
2021-12-07,13.97,2021-12-07,-7.69,2021-12-07,8.3,2021-12-07,-4.79
2021-12-06,14.11,2021-12-06,-7.32,2021-12-06,8.45,2021-12-06,-4.84
2021-12-03,12.95,2021-12-03,-6.4,2021-12-03,7.53,2021-12-03,-4.69
2021-12-02,13.89,2021-12-02,-6.73,2021-12-02,8.73,2021-12-02,-4.78
2021-12-01,15.68,2021-12-01,-8.09,2021-12-01,10.74,2021-12-01,-5.93
2021-11-30,16.38,2021-11-30,-8.56,2021-11-30,11.34,2021-11-30,-6.17
2021-11-29,16.12,2021-11-29,-8.71,2021-11-29,10.1,2021-11-29,0.32
2021-11-26,7.02,2021-11-26,-2.04,2021-11-26,0.6,2021-11-26,0.31
2021-11-25,6.51,2021-11-25,-2.23,2021-11-25,0.5,2021-11-25,0.41
2021-11-24,6.63,2021-11-24,-2.3,2021-11-24,0.55,2021-11-24,0.39
2021-11-23,6.71,2021-11-23,-2.31,2021-11-23,0.56,2021-11-23,0.4
2021-11-22,6.33,2021-11-22,-2.35,2021-11-22,0.42,2021-11-22,0.41
2021-11-19,6.27,2021-11-19,-2.16,2021-11-19,0.48,2021-11-19,0.32
2021-11-18,6.3,2021-11-18,-2.07,2021-11-18,0.54,2021-11-18,0.13
2021-11-17,6.48,2021-11-17,-2.01,2021-11-17,0.65,2021-11-17,0.14
2021-11-16,6.68,2021-11-16,-1.93,2021-11-16,0.63,2021-11-16,0.25
2021-11-15,6.28,2021-11-15,-1.79,2021-11-15,0.62,2021-11-15,0.38
2021-11-12,6.33,2021-11-12,-1.83,2021-11-12,0.64,2021-11-12,0.49
2021-11-11,6.34,2021-11-11,-1.89,2021-11-11,0.65,2021-11-11,0.51
2021-11-10,6.58,2021-11-10,-1.98,2021-11-10,0.67,2021-11-10,0.49
2021-11-09,6.65,2021-11-09,-2.05,2021-11-09,0.71,2021-11-09,0.48
2021-11-08,6.43,2021-11-08,-1.86,2021-11-08,0.7,2021-11-08,0.44
2021-11-05,6.39,2021-11-05,-1.8,2021-11-05,0.73,2021-11-05,0.45
2021-11-04,6.44,2021-11-04,-1.92,2021-11-04,0.79,2021-11-04,0.48
2021-11-03,6.74,2021-11-03,-2.15,2021-11-03,-0.41,2021-11-03,0.41
2021-11-02,7,2021-11-02,-2.2,2021-11-02,-0.33,2021-11-02,0.37
2021-11-01,6.67,2021-11-01,-2.42,2021-11-01,-0.01,2021-11-01,0.37
2021-10-29,6.74,2021-10-29,-2.31,2021-10-29,0.22,2021-10-29,0.23
2021-10-28,6.75,2021-10-28,-2.34,2021-10-28,-0.05,2021-10-28,0.23
2021-10-27,7.12,2021-10-27,-2.45,2021-10-27,-0.18,2021-10-27,0.46
2021-10-26,7.14,2021-10-26,-2.46,2021-10-26,0.18,2021-10-26,0.46
2021-10-25,7.31,2021-10-25,-2.43,2021-10-25,-0.03,2021-10-25,0.48
2021-10-22,6.86,2021-10-22,-2.32,2021-10-22,0.03,2021-10-22,0.59
2021-10-21,7.03,2021-10-21,-2.34,2021-10-21,-0.23,2021-10-21,0.69
2021-10-20,6.82,2021-10-20,-2.3,2021-10-20,-0.38,2021-10-20,0.71
2021-10-19,7.06,2021-10-19,-2.43,2021-10-19,-0.53,2021-10-19,0.62
2021-10-18,7.26,2021-10-18,-2.53,2021-10-18,-0.64,2021-10-18,0.45
2021-10-15,6.81,2021-10-15,-2.4,2021-10-15,0.37,2021-10-15,0.43
2021-10-14,6.77,2021-10-14,-2.43,2021-10-14,0.38,2021-10-14,0.45
